,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN23496_c0_g26,23,32.71,10.59,27,13.78,33.94,32.05,10.06,32.04,13
TRINITY_DN20490_c1_g3,93,170,110,213,127,91,55,143,123,31
TRINITY_DN20896_c0_g1,672,857,224,321,158,879,769,1846,809,374
TRINITY_DN23574_c1_g4,191,59,71,138,13,236.97,90,96,58,74
TRINITY_DN11051_c0_g1,291.88,357.92,281.98,468.92,173.98,345.96,299.98,151,573.91,197.99
TRINITY_DN18536_c0_g1,179,138,128,197,90,190,156,227,118,137
TRINITY_DN23079_c0_g2,56,63,52,29,15.99,66,46,160,100,51
TRINITY_DN14447_c0_g2,167.61,266,69,177,83,223,128.46,24.87,319,106
TRINITY_DN20747_c5_g3,68,56,16,36,21,90,47,34,59,51
TRINITY_DN18278_c0_g1,48,93,73,114,62,76,65,81,85,65
TRINITY_DN20603_c0_g1,180,218,98,164,89,220,57,55,166,131
TRINITY_DN17357_c0_g1,73,84,51,91,51,86,102,22,106,56
TRINITY_DN16816_c0_g2,22,61,36,50,25,39,54,81,51,14
TRINITY_DN22269_c1_g5,1954,3778,3396,3388.14,1922,2195,873,289,1556,1183
TRINITY_DN10116_c0_g1,90,62,62,30,19,111,106,45,137,58
TRINITY_DN23231_c1_g27,4947,3459.73,4555,3972.73,5704.37,5712,9212.74,41095.51,4739.73,3060
TRINITY_DN19807_c0_g1,161,230,142,274,234,160,325,79,223,170
TRINITY_DN14135_c0_g1,928,1640,594,1035,414,1094,1107,570,1382,760
TRINITY_DN15116_c0_g1,208,149,65,172,101,238,118,136,116,137
TRINITY_DN23057_c0_g2,1687,2185,781,1035,864,1850,819,247,1573,1639
TRINITY_DN18300_c0_g2,117,296.08,121,126,17,144,141.06,286,269,109.76
TRINITY_DN12858_c0_g1,155,232,181,219,178,213,184,49,267,130
TRINITY_DN20822_c3_g1,917,1522,603,948,428,1016,583,55,750,668
TRINITY_DN17638_c0_g1,86,52,22,76,27,75,53,21,67,47
TRINITY_DN10639_c0_g1,22,38,19,10,17,34,44,12,20,11
TRINITY_DN21502_c4_g5,117,255,109,122,61,139,86,115,239,109
TRINITY_DN18294_c0_g1,102,95,89,65,68,135,50,21,115,90
TRINITY_DN21852_c0_g3,148,110,56,124,80,178,98,69,156,67
TRINITY_DN21883_c2_g85,299.97,812.54,126.91,32.97,39.88,343.98,638.01,1328.9,155.92,79.02
TRINITY_DN22874_c1_g1,256.91,331.74,65.04,96,139.37,324.7,181,39.12,106.37,200.44
TRINITY_DN18233_c0_g1,114,87,21,234,82,166,376,75,157,121
TRINITY_DN15701_c1_g1,185,263,150,234,133,217,275,319,391,145
TRINITY_DN17773_c0_g2,20.04,29.1,27.33,22.51,19.09,35.01,15.68,58,21.44,19.25
TRINITY_DN22183_c3_g1,505,759,545,679,593,604,685,354,604,379
TRINITY_DN1323_c0_g1,15,25,16,42,17,12,35,76,18,26
