,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN17010_c0_g2,92,145,91,49,41,103,33,7,96,43
TRINITY_DN22711_c2_g5,26,70,13,30,9,35,29,10,60,24
TRINITY_DN21452_c5_g6,14,8,14,11,13,25,18,139,14,10
TRINITY_DN23243_c1_g1,22,51,19,22,8,35,28,15,47,11
TRINITY_DN19520_c0_g1,24,53,24,75,23,35,69,17,53,5
TRINITY_DN18609_c0_g1,16,37,20,21,11,23,7,111,19,18
TRINITY_DN5663_c0_g2,219.3,175.1,195.32,0,250,208.48,389.74,228.08,269.18,301
TRINITY_DN21384_c0_g1,33,26,20,29,23,36,7,14,34,24
TRINITY_DN19971_c0_g1,88,95,51,76,63,109,51,8,66,62
TRINITY_DN15511_c0_g1,36,74,18,20,8,40,12,16,51,16
TRINITY_DN6056_c0_g1,28,29,11,19,12,35,13,3,15,16
TRINITY_DN10541_c0_g1,11,11,17,10,5,12,45,68,27,19
TRINITY_DN21651_c0_g1,102.15,51.73,23,22.76,19,130.05,11.27,0,162.72,12
TRINITY_DN21379_c0_g1,67,69,61,68,36,86,36,8,26,67
TRINITY_DN21977_c0_g1,22,36,12,36,17,20,29,6,23,20
TRINITY_DN13486_c0_g3,23.15,121,42,32,18,33,35,0,23,57.86
TRINITY_DN15227_c0_g3,61.83,126,44.14,21.1,31.71,76.38,37,6.02,34.36,18
TRINITY_DN23579_c4_g30,17.61,118.49,76.23,16,4,14,12,16.53,29.77,14
TRINITY_DN15339_c0_g1,159,188,149,147,102,213,286,127,510,8
TRINITY_DN16287_c0_g1,45,71,65,62,43,72,64,2,47,33
TRINITY_DN18513_c0_g1,93,118,18,44,71,118,64,8,34,25
TRINITY_DN20191_c0_g2,47,49,69,50,24,58,22,7,10,47
TRINITY_DN21850_c1_g1,30,38,12,23,35,33,30,6,33,13
TRINITY_DN10658_c0_g1,28,29,25,26,15,17,21,3,28,25
TRINITY_DN19668_c0_g1,17,26,17,12,14,18,13,4,20,10
TRINITY_DN16669_c0_g4,39,27,15.07,17,9,45,45,356,43,19
TRINITY_DN1040_c0_g1,25,35,38,26,7,27,47,248,55,16
TRINITY_DN22476_c0_g14,21.2,23.42,27.84,29.54,39.24,16.97,36.37,7.48,41.48,16.57
TRINITY_DN17256_c0_g2,83,84,43,84,43,94,47,5,78,61
TRINITY_DN22884_c0_g1,109,152,58,103,49,113,94,9,102,114
TRINITY_DN16902_c0_g2,57,49,29,43,27,41,22,5,89,28
TRINITY_DN23013_c4_g4,97,92,51,54,36,98,32,0,35,63
TRINITY_DN17290_c0_g1,27,42,55,55,29,26,55,4,36,36
TRINITY_DN19588_c1_g1,82,90,27,17,58,119.05,184,87.69,98,8
TRINITY_DN22244_c0_g1,18,18,10,23,9,28,30,44,18,18
TRINITY_DN22751_c4_g4,15,12,31,10,4,22,18,26,23,18
TRINITY_DN22960_c2_g2,67,59,19,29,36,73,17,5,30,36
TRINITY_DN21443_c0_g1,79,84,37,29,26,79,18,3,65,37
TRINITY_DN22886_c1_g3,13,25,8,29,10,13,20,28,23,14
TRINITY_DN21922_c1_g1,81,48,25,60,47,77,40,1,46,71
TRINITY_DN16361_c0_g1,48,30,27,36,8,50,43,276,87,54
TRINITY_DN22325_c0_g8,173,182,158,270,151,177,183,8,162,179
TRINITY_DN20894_c0_g1,29,44,11,22,11,30,24,1,49,22
TRINITY_DN22459_c0_g4,90,103,96.2,159,128.44,113.65,113,9,102,120
TRINITY_DN21326_c3_g1,49,23,22,9,11,56,39,123,59,31
TRINITY_DN15259_c0_g1,67,113,54,39,19,89,37,2,99,43
TRINITY_DN20704_c0_g1,23,31,11,16,13,22,9,23,25,15
TRINITY_DN23319_c0_g10,39.03,72.48,16.02,15.12,20.21,35.72,12.9,0,64.6,15.69
TRINITY_DN22603_c2_g1,17,22,11,14,12,37,40,3,15,26
TRINITY_DN22669_c1_g5,43,39.11,21.16,28.53,24,52.05,31.71,12.62,10.13,8.99
TRINITY_DN12683_c0_g2,25.67,7.7,34.09,46.72,37.47,33.69,28.09,44.16,10.77,14.06
TRINITY_DN23053_c2_g4,119,114,43,35,4,124,97,644,166,58
TRINITY_DN23745_c12_g17,53,60,29,52,42,51,45,3,26,39
TRINITY_DN21431_c2_g7,37,86,60,82,62,55,13,30,63,6
TRINITY_DN18542_c4_g6,37,18,24,24,11,33,23,63,4,25
TRINITY_DN13671_c0_g1,18,23,7,12,11,15,13,32,23,12
TRINITY_DN22550_c3_g4,205,391,209,188,71,248,175,8,346,134
TRINITY_DN20481_c0_g1,31,35,8,29,11,21,18,10,32,32
TRINITY_DN22692_c0_g9,44,23,27,66,40,46,40,0,19,25.57
TRINITY_DN12257_c0_g1,56,48,38,44,34,69,32,6,63,38
TRINITY_DN19470_c0_g1,14,22,17,15,15,17,29,16,23,8
TRINITY_DN20543_c6_g1,21,37,43,31.27,0,31.88,33.28,345.17,45,16
TRINITY_DN23207_c0_g1,74,50,28,31,23,71,23,5,34,37
TRINITY_DN17957_c0_g2,36,33,36,25,23,36,16,7,33,22
TRINITY_DN16742_c0_g1,82.37,95,60.28,93,63.86,113,36.28,8,77.91,76
TRINITY_DN19209_c0_g5,52,53,79.89,48.57,32,62,49,4,48,55
TRINITY_DN11312_c0_g1,32,28,28,42,22,40,29,0,35,57
TRINITY_DN9102_c0_g1,19,21,28,26,26,26,47,6,35,19
TRINITY_DN21673_c2_g1,12,11,14,6,18,14,22,197,46,11
TRINITY_DN22281_c0_g10,41,37,24,43,32,47,38,5,11,51
TRINITY_DN21527_c0_g1,23,7,15,13,15,28,13,23,18,14
TRINITY_DN22335_c1_g2,108,63,37,49,27,99.43,6,29,29,65.56
TRINITY_DN9295_c0_g1,12,19,10,12,9,20,19,23,25,11
TRINITY_DN20541_c0_g1,15,14,12,15,10,9,18,18,32,21
TRINITY_DN15902_c0_g1,20,20,17,21,13,15,19,2,19,15
TRINITY_DN20278_c1_g5,39,61,29,48,26,53,19,3,24,42
TRINITY_DN15156_c0_g1,15,15,14,22,10,20,18,6,39,14
TRINITY_DN13256_c0_g2,37,50,36,42,23,50.76,22,0,62,28
TRINITY_DN15127_c0_g1,17,20,16,11,11,18,22,34,16,6
TRINITY_DN23600_c7_g28,39,33,21,17,17,45,23,1,13,12
TRINITY_DN18620_c0_g1,29,39,22,14,14,31,32,0,22,26
TRINITY_DN17538_c0_g1,61,72,23,74,8,75,57,38,58,33
TRINITY_DN22811_c0_g7,76,74,21,78,11,122,15,1,81,65
TRINITY_DN19963_c0_g1,37,30,34,28,44,55,42,7,29,29
TRINITY_DN4301_c0_g1,43,41,117,68,53,50,65,5,49,62
TRINITY_DN13398_c0_g1,46,47,28,31,17,49,25,9,38,33
TRINITY_DN14544_c0_g1,39,75,48,45,35,61,43,7,45,44
TRINITY_DN9090_c0_g1,57,77,71,73,57,74,89,6,127,63
TRINITY_DN23574_c1_g24,55,49,36,63,35,79,100.28,7,44,50
TRINITY_DN23602_c1_g20,77,90.04,66,56,55,93,18,0,63,17
TRINITY_DN63781_c0_g1,35,66,85,16,33,31,116,58,51,2
TRINITY_DN15172_c0_g2,78.38,86.68,63.09,87.96,47,97.7,35,4.21,47.94,74.52
TRINITY_DN20032_c1_g38,36.05,10.79,12.14,29.19,8.26,31.95,52.5,137.02,9.13,32.82
TRINITY_DN23617_c0_g24,51,58,10,10,28,77,16,3,16,15
TRINITY_DN19596_c0_g1,17,15,27,9,13,29,31,92,22,23
TRINITY_DN23685_c2_g15,56.13,89.07,46.77,48.25,11.12,49.04,48.11,0,157.11,91.83
TRINITY_DN23282_c3_g8,42,142,72,15,23,39,27,3,89,30
TRINITY_DN21694_c0_g1,30,39,31,15,18,44,31,8,54,16
TRINITY_DN18650_c1_g2,157.82,154.54,82.63,118.78,71.15,162,51.88,0,121,159
TRINITY_DN21102_c3_g6,43,41,35,54,39,51.04,29,3,38,36
TRINITY_DN15408_c0_g1,31,22,15,27,18,35,15,4,31,20
TRINITY_DN22668_c3_g4,39,32,27,21,16,31,26,10,33,7
TRINITY_DN20072_c0_g2,23,41,21,16,15,34,20,3,12,46
TRINITY_DN18228_c0_g1,57,6,34,78,63,79,51,65,13,83
TRINITY_DN21756_c0_g1,58,53,45,36,29,44,16,0,19,49
TRINITY_DN22059_c0_g1,17.32,25.39,19,24.53,10.27,15.63,9.85,0,10.77,18.54
TRINITY_DN19977_c0_g1,25,25,16,6,12,30,18,26,12,18
TRINITY_DN21398_c0_g67,28.69,18,13,13.73,6,37,36.53,35,12.97,12
TRINITY_DN50284_c0_g1,15,13,16,24,10,17,20,1,16,14
TRINITY_DN21710_c6_g41,31,50,20,16,55,21,21,3,41,20
TRINITY_DN23573_c1_g11,22,36,15,37,10,25,16,3,15,22
TRINITY_DN20141_c0_g3,24,35,16,19,3,17,31,20,29,21
TRINITY_DN23487_c2_g42,78,40,14,19,4,103,110,65,110,27
TRINITY_DN12066_c0_g1,18,53,16,22,5,34,35,27,26,23
TRINITY_DN23563_c2_g11,115.89,250.27,94.5,80.69,112,145.94,25.6,4,48.89,48.85
TRINITY_DN23134_c2_g1,30,65,29,40,18,35,21,2,42,23
TRINITY_DN22561_c1_g11,90,89,42,81,43,114,35,2,27,68
TRINITY_DN22234_c0_g1,26,25,15,18,7,31,11,21,18,12
TRINITY_DN21036_c0_g1,25,25,33,17,30,43,40,2,35,21
TRINITY_DN22645_c0_g7,39,14,12,18.01,7,61.39,67.01,65,39,13
TRINITY_DN15792_c0_g1,22,24,17,12,4,27,43,226,69,24
TRINITY_DN19553_c0_g2,23.36,76.1,20,50.06,21.73,39.35,34.67,9,26.29,21.83
TRINITY_DN21710_c5_g1,307,489,299,113,100,361,64,6,189,30
TRINITY_DN20209_c0_g2,21,15,12,28,11,21,26,2,34,23
TRINITY_DN22108_c0_g1,55,55,50,80,33,76,43,8,49,59
TRINITY_DN19162_c0_g1,407,388,109,8,806,515,142,213,241,93
TRINITY_DN23056_c3_g1,31,53,62,25,22,28,82,60,60,7
TRINITY_DN22388_c1_g2,97,93,66,107,32,80,42,0,105,109
TRINITY_DN18808_c0_g1,73,111,53,133,15,94,80,7,63,50
TRINITY_DN20818_c2_g1,191,150,64,221,23,221,118,9,158,207
TRINITY_DN20480_c1_g1,16,23,14,12,13,21,7,18,14,14
TRINITY_DN18516_c3_g1,85,100,71,44,20,96,30,2,24,46
TRINITY_DN19562_c0_g1,55,39,65,44,40,73,45,3,30,33.42
TRINITY_DN17670_c0_g1,48,45,22,20,22,42,23,9,16,25
TRINITY_DN14433_c0_g1,17,16,19,21,6,20,26,78,29,14
TRINITY_DN17827_c0_g1,43,72,15,110,15,57,18,5,101,21
TRINITY_DN23322_c2_g3,102,69,107,157,72,165,210,7,95,144
TRINITY_DN21975_c2_g1,28,89,13,27,24,37,36,8,21,33
TRINITY_DN21008_c1_g1,40,105,44,36,28,54,13,7,135,29
TRINITY_DN9935_c0_g2,52,72,29,59,44,47.12,69,4.51,89,44
TRINITY_DN16269_c0_g2,14,16,14,14,11,8,22,22,25,13
TRINITY_DN22165_c0_g1,83.75,113.1,49.37,86.13,35.05,94.07,83.4,0,122.27,99.84
TRINITY_DN22747_c3_g16,27,31,38.64,30.92,25,29.96,16,0,53.93,20
TRINITY_DN21070_c0_g1,49,39,35,39,30,42,22,2,29,42
TRINITY_DN20582_c0_g2,16,18,10,10,13,17,25,56,13,8
TRINITY_DN19527_c0_g1,25,31,21,15,10,43,10,3,16,14
TRINITY_DN23630_c1_g50,82.85,111.16,66.23,117.2,72.01,105.16,112.07,8.46,51.3,65.29
TRINITY_DN23667_c0_g1,173,114,171,94,32,197,30,56,15,9
TRINITY_DN23103_c1_g2,52.5,59,32,52.2,32.6,52.59,14.95,5.13,47,38
TRINITY_DN13415_c0_g1,21,25,16,23,20,24,42,122,28,7
TRINITY_DN21186_c3_g1,69,89,48,39,48,81,67,8,184,34
TRINITY_DN13279_c0_g1,130,219,114,99,45,150,51,6,166,111
TRINITY_DN14953_c0_g2,68,52,38,84,46,89,79,0,37,52
TRINITY_DN21423_c1_g1,29,28,28,29,11,50,17,9,62,23
TRINITY_DN23166_c1_g27,44.69,41,38.18,56.65,2.7,39.93,37.24,125.52,60.21,27.84
TRINITY_DN19361_c0_g1,55,45,15,21,19,48,24,9,11,12
TRINITY_DN23706_c3_g2,53,27,17,44,21,63,49,3,47,101
TRINITY_DN21883_c2_g6,422,696,160,311.01,455,455,528,584.67,17,6
TRINITY_DN14992_c0_g1,27,39,16,23,13,22,3,41,20,11
TRINITY_DN20052_c0_g1,13,17,11,18,10,11,25,3,32,15
TRINITY_DN22417_c0_g19,37,17,13,29,8,31,33,96,36,14
TRINITY_DN20007_c1_g2,71,79,28,51,35,99,36,6,34,41
TRINITY_DN22379_c0_g3,494.43,820.22,257,299.88,144,560.47,77,7,436.36,273.32
TRINITY_DN17815_c0_g1,29,107,18,27,21,45,25,5,105,13
TRINITY_DN23718_c3_g28,82,61,24,42,6,101,54,116,35,26
TRINITY_DN16747_c0_g1,17,21,11,18,4,15,15,37,24,23
TRINITY_DN23768_c4_g8,127.57,106.43,12.49,22.74,4,156.04,65.4,888.21,49.1,17.12
TRINITY_DN14830_c0_g1,26,41,39,23,20,16,24,3,14,20
TRINITY_DN21277_c1_g1,33,36,18,24,12,41,9,16,10,18
TRINITY_DN13027_c0_g4,57.89,32.22,38.37,15.12,15.96,43.27,20.01,0,65.92,62.03
TRINITY_DN15203_c0_g1,44,66,41,36,20,71,12,9,43,34
TRINITY_DN4700_c0_g2,21.06,22.52,8.92,23.82,9.01,32.12,61.68,97.02,49.87,30.08
TRINITY_DN5906_c0_g1,97,162,85,74,43.13,99,62,0,101,71
TRINITY_DN15021_c0_g1,25,39,34,38,26,35,23,4,26,22
TRINITY_DN22850_c1_g1,36,34,38,15,18,31,49,7,37,24
TRINITY_DN20613_c6_g1,34,49,30,64,26,52,39,5,30,27
TRINITY_DN23166_c1_g82,49.38,62.55,38.82,37.15,2.3,55.07,101.35,150.7,127.12,24.15
TRINITY_DN19027_c0_g1,62,83,37,73,28,68,44,0,70,58
TRINITY_DN21347_c1_g3,58,74,50,49,35,80,35,9,15,53
TRINITY_DN19573_c0_g2,36,44,34,23,17,37,23,0,14,24
TRINITY_DN47_c0_g1,12,32,17,27,12,14,9,31,26,26
TRINITY_DN22358_c3_g12,29,47,30,17,19,44,41,9,108,61
TRINITY_DN18413_c0_g1,38,40,19,28,14,33,16,34,105,3
TRINITY_DN21479_c0_g1,24,40,9,11,14,52,11,12,15,15
TRINITY_DN18976_c0_g1,130,94,7,84,39,136,125,14,104,42
TRINITY_DN21186_c5_g1,10,21,28,11,8,29,16,134,30,15
TRINITY_DN22365_c3_g13,89,102,55,97,66,122,68,7,122,66
TRINITY_DN23557_c2_g26,28,28.35,17,13,16,29,33,7,77,21
TRINITY_DN13558_c0_g1,16,29,10,14,4,20,19,192,31,17
TRINITY_DN20105_c0_g1,19,29,18,28,7,34,19,10,34,25
TRINITY_DN23258_c3_g8,2852.12,161754.25,24169.16,5684.03,4508.16,3708.46,4903.52,5582.01,138966.91,9
TRINITY_DN23035_c1_g17,17,18,13,17,7,23,24,41,14,13
TRINITY_DN9498_c0_g2,43,41,42,73,43,61,27,3,22,45
TRINITY_DN19928_c0_g1,25,33,25,6,11,20,15,30,28,14
TRINITY_DN9496_c0_g1,47,48,23,36,11,42,22,9,27,26
TRINITY_DN21017_c0_g2,71,74,76,63,33,96,40,9,100,64
TRINITY_DN22940_c0_g1,73.36,79.72,61,46,29,90.4,56.31,3,72.01,47
TRINITY_DN10899_c0_g2,18.72,10,17,23.25,2,27,36,17,31,14.2
TRINITY_DN22730_c0_g1,171,146,58,65,64,182,43,9,115,98
TRINITY_DN21970_c4_g4,349,561,181,319,153,408,137,9,261,404
TRINITY_DN12366_c1_g1,25,26,26,18,11,19,35,8,29,27
TRINITY_DN21004_c2_g1,66,86,55,80,79,99,79,0,54,67
TRINITY_DN7205_c0_g1,19,30,14,21,7,18,30,25,18,18
TRINITY_DN16701_c0_g4,46.03,0,12.9,28.88,10.8,56.33,51.8,27.67,52.75,73.26
TRINITY_DN2095_c0_g1,42,37.27,24,30,10,36,42,7.71,42.89,23.73
TRINITY_DN22740_c0_g1,17,38,10,19,15,22,22,7,15,18
TRINITY_DN20593_c2_g4,27,25,22,23,7,41,14,65,27,29
TRINITY_DN12385_c0_g1,26,46,23,38,20,39,25,8,40,29
TRINITY_DN22926_c10_g1,13,31,13,11,10,17,16,6,13,11
TRINITY_DN23699_c18_g9,17,39,35,37,35,33,25,8.96,24,14
TRINITY_DN11521_c0_g1,77,399,93,75,24,98,84,0,133,100
TRINITY_DN13795_c0_g1,89,115,37,38,10,79,17,3,84,18
TRINITY_DN6517_c0_g3,171.42,168.84,524.81,91.2,55.68,166.23,29.55,8,145.36,68.97
TRINITY_DN21826_c1_g13,20,12,21,15,11,17,13,64,22,5
TRINITY_DN16120_c0_g1,24,12,15,18,8,34,12,100,21,17
TRINITY_DN21537_c0_g1,40,62,13,19,5,63,15,16,18,24
TRINITY_DN14184_c0_g1,30,33,14,25,7,24,18,14,69,22
TRINITY_DN13519_c0_g1,29,19,21,24,10,30,13,9,17,16
TRINITY_DN8321_c0_g1,36.31,38,23,47.51,27.5,47.02,41.53,3,20.38,14
TRINITY_DN14357_c0_g1,29,26,15,15,12,18,18,0,23,27
TRINITY_DN21260_c1_g1,21,27,11,31,8,21,25,28,13,10
TRINITY_DN21293_c0_g1,22,49,11,16,16,24,22,9,33,32
TRINITY_DN17986_c0_g1,30,14,16,32,19,29,30,0,12,31
TRINITY_DN23508_c3_g20,22,19.1,26.62,22,13.01,24.39,21,46,11,9
TRINITY_DN17167_c0_g1,15,39,19,20,18,19,12,0,21,14
TRINITY_DN23270_c2_g3,32,37,18,45,22,36,16,1,29,19
TRINITY_DN10497_c0_g1,23,30,21,24,16,19,20,6,19,10
TRINITY_DN16263_c0_g1,27,33,20,24,15,28,14,3,11,19
TRINITY_DN22959_c0_g1,31,42,34,22,9,50,38,123,91,29
TRINITY_DN23045_c0_g1,83,104,61,144,57,88,96,9,86,86
TRINITY_DN22729_c0_g1,67,28,41,64,31,81,26,3,25,17
TRINITY_DN23481_c2_g10,54.92,55.36,38.51,113.78,58.89,54.74,70.35,8.05,53.55,72.28
TRINITY_DN20853_c0_g2,73.22,57.71,27.63,133.88,29.15,90.61,16.36,0,36.61,96.59
TRINITY_DN23181_c3_g2,19,51,25,33,18,27,12,2,15.02,34
TRINITY_DN21533_c2_g15,90,78,32,51,24,81,61,4,77,44
TRINITY_DN16665_c0_g1,15,31,21,13,6,24,11,17,27,11
TRINITY_DN14293_c0_g2,57,22,25,42,4,66,71,11,26,50
TRINITY_DN17003_c0_g1,64,17,16,18,4,69,40,49,76,12
TRINITY_DN21497_c3_g1,42,33,29,64,25,42,33,4,12,65
TRINITY_DN7241_c0_g3,44,40,26.6,6.48,16,15.42,24.59,62.39,63,32
TRINITY_DN21779_c1_g2,30,28,6,13,10,16,26,68,20,32
TRINITY_DN23566_c5_g15,22.93,29.3,34.13,44.32,18.94,33.37,23.4,7.74,50.8,25.29
TRINITY_DN6783_c0_g1,52.5,140,78,160,72,92,124,113,0,107
TRINITY_DN15473_c0_g1,30,42,39,64,20,39,36.7,0,16,60
TRINITY_DN22952_c0_g4,52.44,81.45,44.5,22,9,65,35,237,91,21
TRINITY_DN17544_c0_g1,29,38,19,35,15,44,26,7,31,20
TRINITY_DN21112_c0_g3,46,31,59,10,7,40,12,17,82,20
TRINITY_DN23671_c3_g31,47.1,43.98,30.44,31.96,28,36.47,12.16,7.9,13,25
TRINITY_DN23591_c3_g7,40,24,21,31,8,46,30,256,30,35
TRINITY_DN23730_c4_g15,17,32,24,26,2,28,30,38,35,13
TRINITY_DN21711_c2_g3,811.16,2,871.69,1050.49,554.76,883.13,838.38,268.3,11.22,660.27
TRINITY_DN16602_c0_g2,38,42,35,36,19,41,27,7,19,53
TRINITY_DN20892_c6_g1,22,22,13,28,23,15,11,0,28,27
TRINITY_DN7417_c0_g2,32,50,27,35,15,32,21,9,65,19
TRINITY_DN22493_c2_g11,34,27,8,26,12,40,55,14,25,21
TRINITY_DN13204_c0_g1,13,40,33,50,20,38,36,0,39,44
TRINITY_DN21167_c2_g2,34,15,20,16,10,26,35,113,47,8
TRINITY_DN23068_c2_g3,23,35,10,12,18,38,11,19,26,5
TRINITY_DN20986_c0_g1,19,31,23,18,9,24,10,35,30,15
TRINITY_DN18843_c0_g2,16,16,16,11,7,13,31,16,69,12
TRINITY_DN13167_c0_g1,21,29,21,20,12,38,17,9,17,20
TRINITY_DN22372_c0_g3,1070,9,832,668,1009,1189,1219,4618,38,550
TRINITY_DN22391_c0_g2,40,43,18,45,26,62,22,6,19,32
TRINITY_DN23133_c4_g11,30,30,12,30,13,28,18,3,31,18
TRINITY_DN22201_c0_g2,55,57,33,76,36,90,30,2,61,65
TRINITY_DN22927_c1_g15,50,78,59,48,37,85,45,9,71,47
TRINITY_DN16784_c1_g1,17,23,13,25,9,39,16,52,33,28
TRINITY_DN9812_c0_g1,17,10,11,11,4,13,18,23,26,15
TRINITY_DN14655_c0_g1,45,50,53,41,60,48,37,9,89,20
TRINITY_DN10581_c0_g1,40,32,10,16,7,38,22,15,37,20
TRINITY_DN22385_c0_g7,161,219,55,74,65,141,60,5,169,31
TRINITY_DN21607_c1_g27,66,48,48,45,27,84,42.31,9,88,39
TRINITY_DN22695_c0_g32,29.05,30.07,30.37,14.77,8,26.18,46.02,40,43.94,29.21
TRINITY_DN18129_c0_g1,75,111,55,61,44,105,80,6,32,94
TRINITY_DN22679_c2_g32,37,35,27,50,38,50,44,3,44,34
TRINITY_DN20422_c3_g5,22,30,39,21,4,28,21,19,11,76
TRINITY_DN19131_c0_g1,18,30,12,20,22,20,13,10,6,29
TRINITY_DN23335_c2_g1,321,535,98,130,50,403,285,69,171,2
TRINITY_DN18477_c0_g1,90,77,49,55,47,101,41,4,108,83
TRINITY_DN22650_c3_g3,21,103,1,11,56,40,31,13,45,13
TRINITY_DN7267_c0_g1,54,86,49,72,46,65,31,4,103,41
TRINITY_DN20591_c0_g1,20,23,22,32,17,23,23,6,17,32
TRINITY_DN23731_c4_g1,46,102.98,31,40,19,47,47,0,71,20
TRINITY_DN20662_c0_g2,53,18,26,37,28,56,24,0,22,27
TRINITY_DN20366_c1_g1,17,18,14,14,10,17,8,54,16,12
TRINITY_DN23078_c4_g2,77,44,11,103,4,64,185,474,71,203
TRINITY_DN21975_c9_g3,19,45,35,30,22,34,38,7,41,30
TRINITY_DN22456_c4_g16,31.3,39.17,57.69,8,12,45.56,46,26,30.49,28.8
TRINITY_DN16860_c0_g1,24,17,11,11,8,22,17,31,12,15
TRINITY_DN23175_c0_g3,36.63,16.39,20.01,42.06,22.98,20.73,26,1,30,24.87
TRINITY_DN15064_c0_g4,50,71,69,63,21,54,37,5,54,51
TRINITY_DN19689_c0_g1,28,46,22,15,23,20,19,22,5,13
TRINITY_DN18583_c0_g1,44,59,52,37,27,60,19,4,59,32
TRINITY_DN21502_c4_g2,29,29,21,20,5,31,19,27,26,22
TRINITY_DN21515_c0_g1,30,22,24,36,15,36,15,13,28,9
TRINITY_DN18783_c0_g1,37,67,29,18,29,38,14,7,72,18
TRINITY_DN22831_c0_g2,24,21,23,17.22,19,17.06,19,0,46.97,10.48
TRINITY_DN20243_c0_g1,72,100,33,28,16,64,53,7,136,38
TRINITY_DN11193_c0_g1,17,27,21,26,10,21,11,8,22,10
TRINITY_DN18720_c0_g1,25,31,18,36,21,23,39,5,34,11
TRINITY_DN10240_c0_g3,18,22,15,27,11,19,13,0,37,10
TRINITY_DN17725_c0_g2,12.82,12.21,20,16,17,16,19,0,22.3,14
TRINITY_DN23777_c10_g1,28,23,16,25,11,38,17,7,20,13
TRINITY_DN17899_c0_g2,45,50,42,66,53,48.13,37,7,33,39
TRINITY_DN7872_c0_g1,9,27,14,20,14,17,12,17,23,17
TRINITY_DN21087_c0_g1,43,44,27,21,15,48,30,4,27,35
TRINITY_DN22736_c8_g2,57,75.47,35,15.72,14.18,56,15,5,49.73,32
TRINITY_DN23532_c1_g12,47,38.08,29,24,11.05,38,15.07,0,28.24,28
TRINITY_DN1541_c0_g1,67,60,45,76,32,63,58,7,117,59
TRINITY_DN16122_c0_g1,18,41,14,8,11,27,17,41,27,16
TRINITY_DN8237_c0_g1,50,63,43,44,28,67,19,7,47,37
TRINITY_DN60388_c0_g1,12,22,27,17,9,15,25,19,22,24
TRINITY_DN21962_c0_g1,259,267,162,183,119,293,139,5,98,167
TRINITY_DN16533_c0_g1,46,57,49,53,34,67,43,8,38,44
TRINITY_DN23382_c1_g2,64.54,64.04,43.64,53.74,28,80.74,24,7,23.26,72
TRINITY_DN17813_c0_g2,19,15,13,19,3,28,10,26,21,13
TRINITY_DN16570_c0_g1,33,34,62,32,14,48,29,6,18,43
TRINITY_DN23258_c2_g1,540,775,0,55,531,702,813,679,1560,287
TRINITY_DN21678_c1_g1,45,87,50,58,37,51,42,2,23,68
TRINITY_DN22212_c2_g2,75.36,53.28,26.22,56.89,27.73,109.55,41.65,9,43.94,47.52
TRINITY_DN22225_c2_g6,19,27.85,26,18.11,8,22.34,42.14,13.14,28,32.87
TRINITY_DN14327_c0_g1,145,269,101,116,90,155,58,1,38,53
TRINITY_DN22876_c9_g1,11,15,23,13,8,14,13,78,14,20
TRINITY_DN15859_c3_g1,20,21,19,11,5,31,42,27,31,21
TRINITY_DN22805_c0_g1,34,57,123,0,90,43,10,124,56,35
TRINITY_DN22846_c4_g3,43,23,21,27,8,44,40,876,60,24
TRINITY_DN21182_c0_g1,57,50,27,33,21,72,17,3,63,34
TRINITY_DN18611_c0_g1,26,22,7,11,14,18,14,16,23,21
TRINITY_DN20059_c0_g1,49,54,34,19,10,66,17,6,21,29
TRINITY_DN23777_c15_g34,15,17,11,13,6,15,18,16,25,16
TRINITY_DN23514_c5_g1,36,33,20,18,26,46,16,8,24,23
TRINITY_DN18005_c0_g3,164,65,129,123,200,173,112,1,46,26
TRINITY_DN23761_c10_g7,24,15,17,25,3,17,30,136,21,18
TRINITY_DN18818_c0_g1,31,34,24,46,18,25,51,6,39,24
TRINITY_DN21834_c0_g1,111,159,106,130,79,163,53,9,101,113
TRINITY_DN21915_c5_g21,74.38,19.64,62,91,44,85.17,61,5,13.49,22
TRINITY_DN18339_c0_g3,26.68,37.91,14.4,20.23,2.33,41.85,17.6,18,41.68,12.88
TRINITY_DN22482_c0_g1,45,35,7,17,26,48,66,81,80,43
TRINITY_DN13418_c1_g1,33,68,31,40,16,42,19,0,44,39
TRINITY_DN19173_c0_g1,20,44,28,14,12,25,14,5,45,11
TRINITY_DN19466_c1_g1,19,18,19,10,12,25,15,9,12,13
TRINITY_DN13947_c0_g2,46.87,34.55,43,29,16,50.76,30,5.91,56,34
TRINITY_DN19450_c0_g1,17,22,26,41,23,26,18,5,31,15
TRINITY_DN22373_c4_g8,68,62,34,33,29,92,14,4,29,25
TRINITY_DN16963_c0_g1,54,55,24,45,21,55,28,2,38,32
TRINITY_DN8528_c0_g1,71,149,37,59,43,64,48,4,74,33
TRINITY_DN11979_c0_g1,31.06,20,10,15,1,30,28,47,80,11
TRINITY_DN23497_c4_g14,40,21,24,28,12,32,32,6,15,37
TRINITY_DN21056_c0_g2,26,24,19,12,10,40,17,38,3,11
TRINITY_DN12308_c0_g1,59,93,55,59,40,79,56,6,65,59
TRINITY_DN20854_c4_g1,29,48,38,34,18,43,19,4,28,33
TRINITY_DN19499_c2_g1,38,21,25,45,24,35,25,3,17,53
